"id","film_id","people_id"
1,1,10
2,1,13
3,1,12
4,1,15
5,1,14
6,1,16
7,1,19
8,1,18
9,1,1
10,1,3
11,1,2
12,1,5
13,1,4
14,1,7
15,1,6
16,1,9
17,1,8
18,1,81
19,2,24
20,2,10
21,2,13
22,2,20
23,2,14
24,2,22
25,2,23
26,2,18
27,2,26
28,2,1
29,2,3
30,2,2
31,2,5
32,2,4
33,2,25
34,2,21
35,3,10
36,3,13
37,3,27
38,3,20
39,3,14
40,3,22
41,3,16
42,3,18
43,3,31
44,3,30
45,3,28
46,3,29
47,3,1
48,3,3
49,3,2
50,3,5
51,3,4
52,3,45
53,3,25
54,3,21
55,4,37
56,4,36
57,4,35
58,4,34
59,4,20
60,4,21
61,4,48
62,4,49
63,4,46
64,4,47
65,4,44
66,4,42
67,4,43
68,4,40
69,4,41
70,4,3
71,4,2
72,4,11
73,4,10
74,4,39
75,4,38
76,4,59
77,4,58
78,4,16
79,4,33
80,4,32
81,4,57
82,4,56
83,4,51
84,4,50
85,4,53
86,4,52
87,4,55
88,4,54
89,5,60
90,5,61
91,5,62
92,5,63
93,5,64
94,5,35
95,5,66
96,5,67
97,5,82
98,5,69
99,5,20
100,5,21
101,5,22
102,5,46
103,5,43
104,5,40
105,5,3
106,5,2
107,5,7
108,5,6
109,5,68
110,5,77
111,5,76
112,5,75
113,5,74
114,5,73
115,5,72
116,5,71
117,5,70
118,5,78
119,5,11
120,5,10
121,5,59
122,5,58
123,5,33
124,5,51
125,5,36
126,5,53
127,5,52
128,5,65
129,6,82
130,6,63
131,6,64
132,6,35
133,6,67
134,6,68
135,6,83
136,6,80
137,6,81
138,6,20
139,6,21
140,6,46
141,6,1
142,6,3
143,6,2
144,6,5
145,6,4
146,6,7
147,6,6
148,6,75
149,6,79
150,6,78
151,6,11
152,6,10
153,6,13
154,6,12
155,6,58
156,6,55
157,6,54
158,6,56
159,6,51
160,6,53
161,6,52
162,6,33