"id","film_id","species_id"
1,1,1
2,1,3
3,1,2
4,1,5
5,1,4
6,2,1
7,2,3
8,2,2
9,2,7
10,2,6
11,3,10
12,3,15
13,3,1
14,3,3
15,3,2
16,3,5
17,3,6
18,3,9
19,3,8
20,4,11
21,4,24
22,4,13
23,4,12
24,4,15
25,4,14
26,4,17
27,4,16
28,4,19
29,4,18
30,4,22
31,4,26
32,4,20
33,4,1
34,4,27
35,4,25
36,4,21
37,4,6
38,4,2
39,4,23
40,5,13
41,5,12
42,5,15
43,5,33
44,5,32
45,5,31
46,5,30
47,5,28
48,5,29
49,5,35
50,5,34
51,5,1
52,5,2
53,5,6
54,6,24
55,6,25
56,6,26
57,6,27
58,6,15
59,6,23
60,6,19
61,6,28
62,6,30
63,6,37
64,6,29
65,6,35
66,6,34
67,6,1
68,6,33
69,6,3
70,6,2
71,6,36
72,6,6
73,6,20