"vehicleClass","id","name","model","manufacturer","costInCredits","length","maxAtmospheringSpeed","crew","passengers","cargoCapacity","consumables"
"wheeled",4,"Sand Crawler","Digger Crawler","Corellia Mining Corporation","150000","36.8 ","30","46","30","50000","2 months"
"repulsorcraft",6,"T-16 skyhopper","T-16 skyhopper","Incom Corporation","14500","10.4 ","1200","1","1","50","0"
"repulsorcraft",7,"X-34 landspeeder","X-34 landspeeder","SoroSuub Corporation","10550","3.4 ","250","1","1","5","unknown"
"starfighter",8,"TIE/LN starfighter","Twin Ion Engine/Ln Starfighter","Sienar Fleet Systems","unknown","6.4","1200","1","0","65","2 days"
"airspeeder",14,"Snowspeeder","t-47 airspeeder","Incom corporation","unknown","4.5","650","2","0","10","none"
"space/planetary bomber",16,"TIE bomber","TIE/sa bomber","Sienar Fleet Systems","unknown","7.8","850","1","0","none","2 days"
"assault walker",18,"AT-AT","All Terrain Armored Transport","Kuat Drive Yards, Imperial Department of Military Research","unknown","20","60","5","40","1000","unknown"
"walker",19,"AT-ST","All Terrain Scout Transport","Kuat Drive Yards, Imperial Department of Military Research","unknown","2","90","2","0","200","none"
"repulsorcraft",20,"Storm IV Twin-Pod cloud car","Storm IV Twin-Pod","Bespin Motors","75000","7","1500","2","0","10","1 day"
"sail barge",24,"Sail barge","Modified Luxury Sail Barge","Ubrikkian Industries Custom Vehicle Division","285000","30","100","26","500","2000000","Live food tanks"
"repulsorcraft cargo skiff",25,"Bantha-II cargo skiff","Bantha-II","Ubrikkian Industries","8000","9.5","250","5","16","135000","1 day"
"starfighter",26,"TIE/IN interceptor","Twin Ion Engine Interceptor","Sienar Fleet Systems","unknown","9.6","1250","1","0","75","2 days"
"speeder",30,"Imperial Speeder Bike","74-Z speeder bike","Aratech Repulsor Company","8000","3","360","1","1","4","1 day"
"starfighter",33,"Vulture Droid","Vulture-class droid starfighter","Haor Chall Engineering, Baktoid Armor Workshop","unknown","3.5","1200","0","0","0","none"
"repulsorcraft",34,"Multi-Troop Transport","Multi-Troop Transport","Baktoid Armor Workshop","138000","31","35","4","112","12000","unknown"
"repulsorcraft",35,"Armored Assault Tank","Armoured Assault Tank","Baktoid Armor Workshop","unknown","9.75","55","4","6","unknown","unknown"
"repulsorcraft",36,"Single Trooper Aerial Platform","Single Trooper Aerial Platform","Baktoid Armor Workshop","2500","2","400","1","0","none","none"
"landing craft",37,"C-9979 landing craft","C-9979 landing craft","Haor Chall Engineering","200000","210","587","140","284","1800000","1 day"
"submarine",38,"Tribubble bongo","Tribubble bongo","Otoh Gunga Bongameken Cooperative","unknown","15","85","1","2","1600","unknown"
"speeder",42,"Sith speeder","FC-20 speeder bike","Razalon","4000","1.5","180","1","0","2","unknown"
"repulsorcraft",44,"Zephyr-G swoop bike","Zephyr-G swoop bike","Mobquet Swoops and Speeders","5750","3.68","350","1","1","200","none"
"airspeeder",45,"Koro-2 Exodrive airspeeder","Koro-2 Exodrive airspeeder","Desler Gizh Outworld Mobility Corporation","unknown","6.6","800","1","1","80","unknown"
"airspeeder",46,"XJ-6 airspeeder","XJ-6 airspeeder","Narglatch AirTech prefabricated kit","unknown","6.23","720","1","1","unknown","unknown"
"gunship",50,"LAAT/i","Low Altitude Assault Transport/infrantry","Rothana Heavy Engineering","unknown","17.4","620","6","30","170","unknown"
"gunship",51,"LAAT/c","Low Altitude Assault Transport/carrier","Rothana Heavy Engineering","unknown","28.82","620","1","0","40000","unknown"
"walker",53,"AT-TE","All Terrain Tactical Enforcer","Rothana Heavy Engineering, Kuat Drive Yards","unknown","13.2","60","6","36","10000","21 days"
"walker",54,"SPHA","Self-Propelled Heavy Artillery","Rothana Heavy Engineering","unknown","140","35","25","30","500","7 days"
"speeder",55,"Flitknot speeder","Flitknot speeder","Huppla Pasa Tisc Shipwrights Collective","8000","2","634","1","0","unknown","unknown"
"transport",56,"Neimoidian shuttle","Sheathipede-class transport shuttle","Haor Chall Engineering","unknown","20","880","2","6","1000","7 days"
"starfighter",57,"Geonosian starfighter","Nantex-class territorial defense","Huppla Pasa Tisc Shipwrights Collective","unknown","9.8","20000","1","0","unknown","unknown"
"wheeled walker",60,"Tsmeu-6 personal wheel bike","Tsmeu-6 personal wheel bike","Z-Gomot Ternbuell Guppat Corporation","15000","3.5","330","1","1","10","none"
"fire suppression ship",62,"Emergency Firespeeder","Fire suppression speeder","unknown","unknown","unknown","unknown","2","unknown","unknown","unknown"
"droid starfighter",67,"Droid tri-fighter","tri-fighter","Colla Designs, Phlac-Arphocc Automata Industries","20000","5.4","1180","1","0","0","none"
"airspeeder",69,"Oevvaor jet catamaran","Oevvaor jet catamaran","Appazanna Engineering Works","12125","15.1","420","2","2","50","3 days"
"air speeder",70,"Raddaugh Gnasp fluttercraft","Raddaugh Gnasp fluttercraft","Appazanna Engineering Works","14750","7","310","2","0","20","none"
"wheeled walker",71,"Clone turbo tank","HAVw A6 Juggernaut","Kuat Drive Yards","350000","49.4","160","20","300","30000","20 days"
"droid tank",72,"Corporate Alliance tank droid","NR-N99 Persuader-class droid enforcer","Techno Union","49000","10.96","100","0","4","none","none"
"airspeeder",73,"Droid gunship","HMP droid gunship","Baktoid Fleet Ordnance, Haor Chall Engineering","60000","12.3","820","0","0","0","none"
"walker",76,"AT-RT","All Terrain Recon Transport","Kuat Drive Yards","40000","3.2","90","1","0","20","1 day"